2024-01-05|10:20|New Year bonus|Acme Corp|1500.00
2024-04-18|16:30|Car repair|Auto Shop|-325.50
2024-06-10|12:00|Birthday dinner|Cheesecake Factory|-78.25
2024-08-25|08:45|Back to school supplies|Walmart|-156.80
2024-10-03|11:30|Dentist appointment|Smile Dental|-200.00
2024-12-20|18:00|Holiday shopping|Amazon|-245.67
2025-02-14|13:15|Valentine's dinner|French Bistro|-125.00
2025-10-01|08:15|Latte and croissant|Starbucks|7.45
2025-10-03|14:30|Monthly salary deposit|Acme Corp|3500.00
2025-10-04|19:11|Wireless headphones|Amazon|-59.99
2025-10-06|09:00|October rent payment|Sunrise Apartments|-1200.00
2025-10-14|21:32|Job|Apple Corp|5000.00
2025-10-14|21:35|Groceries|Walmart|-25.00
2025-10-14|21:36|Bonus|JP Morgan|1500.00
